row,col,expected,actual,file
10197,H2O,a double,"wetl""",literal data
10197,CO2,no trailing characters,2023-07-19,literal data
10197,CH4,no trailing characters,15:15:31,literal data
10197,NA,22 columns,25 columns,literal data
10198,DATE,date like ,2,literal data
10198,TIME,time like ,in,literal data
10198,H2O,a double,"wetl""",literal data
10198,CO2,no trailing characters,2023-07-19,literal data
10198,CH4,no trailing characters,15:15:32,literal data
10198,NA,22 columns,25 columns,literal data
10199,DATE,date like ,2,literal data
10199,TIME,time like ,in,literal data
10199,H2O,a double,"wetl""",literal data
10199,CO2,no trailing characters,2023-07-19,literal data
10199,CH4,no trailing characters,15:15:33,literal data
10199,NA,22 columns,25 columns,literal data
10200,DATE,date like ,2,literal data
10200,TIME,time like ,in,literal data
10200,H2O,a double,"wetl""",literal data
10200,CO2,no trailing characters,2023-07-19,literal data
10200,CH4,no trailing characters,15:15:34,literal data
10200,NA,22 columns,25 columns,literal data
10201,DATE,date like ,2,literal data
10201,TIME,time like ,in,literal data
10201,H2O,a double,"wetl""",literal data
10201,CO2,no trailing characters,2023-07-19,literal data
10201,CH4,no trailing characters,15:15:35,literal data
10201,NA,22 columns,25 columns,literal data
10202,DATE,date like ,2,literal data
10202,TIME,time like ,in,literal data
10202,H2O,a double,"wetl""",literal data
10202,CO2,no trailing characters,2023-07-19,literal data
10202,CH4,no trailing characters,15:15:36,literal data
10202,NA,22 columns,25 columns,literal data
10203,DATE,date like ,2,literal data
10203,TIME,time like ,in,literal data
10203,H2O,a double,"wetl""",literal data
10203,CO2,no trailing characters,2023-07-19,literal data
10203,CH4,no trailing characters,15:15:37,literal data
10203,NA,22 columns,25 columns,literal data
10204,DATE,date like ,2,literal data
10204,TIME,time like ,in,literal data
10204,H2O,a double,"wetl""",literal data
10204,CO2,no trailing characters,2023-07-19,literal data
10204,CH4,no trailing characters,15:15:38,literal data
10204,NA,22 columns,25 columns,literal data
10205,DATE,date like ,2,literal data
10205,TIME,time like ,in,literal data
10205,H2O,a double,"wetl""",literal data
10205,CO2,no trailing characters,2023-07-19,literal data
10205,CH4,no trailing characters,15:15:39,literal data
10205,NA,22 columns,25 columns,literal data
10206,DATE,date like ,2,literal data
10206,TIME,time like ,in,literal data
10206,H2O,a double,"wetl""",literal data
10206,CO2,no trailing characters,2023-07-19,literal data
10206,CH4,no trailing characters,15:15:40,literal data
10206,NA,22 columns,25 columns,literal data
10207,DATE,date like ,2,literal data
10207,TIME,time like ,in,literal data
10207,H2O,a double,"wetl""",literal data
10207,CO2,no trailing characters,2023-07-19,literal data
10207,CH4,no trailing characters,15:15:41,literal data
10207,NA,22 columns,25 columns,literal data
10208,DATE,date like ,2,literal data
10208,TIME,time like ,in,literal data
10208,H2O,a double,"wetl""",literal data
10208,CO2,no trailing characters,2023-07-19,literal data
10208,CH4,no trailing characters,15:15:42,literal data
10208,NA,22 columns,25 columns,literal data
10209,DATE,date like ,2,literal data
10209,TIME,time like ,in,literal data
10209,H2O,a double,"wetl""",literal data
10209,CO2,no trailing characters,2023-07-19,literal data
10209,CH4,no trailing characters,15:15:43,literal data
10209,NA,22 columns,25 columns,literal data
10210,DATE,date like ,2,literal data
10210,TIME,time like ,in,literal data
10210,H2O,a double,"wetl""",literal data
10210,CO2,no trailing characters,2023-07-19,literal data
10210,CH4,no trailing characters,15:15:44,literal data
10210,NA,22 columns,25 columns,literal data
10211,DATE,date like ,2,literal data
10211,TIME,time like ,in,literal data
10211,H2O,a double,"wetl""",literal data
10211,CO2,no trailing characters,2023-07-19,literal data
10211,CH4,no trailing characters,15:15:45,literal data
10211,NA,22 columns,25 columns,literal data
10212,DATE,date like ,2,literal data
10212,TIME,time like ,in,literal data
10212,H2O,a double,"wetl""",literal data
10212,CO2,no trailing characters,2023-07-19,literal data
10212,CH4,no trailing characters,15:15:46,literal data
10212,NA,22 columns,25 columns,literal data
10213,DATE,date like ,2,literal data
10213,TIME,time like ,in,literal data
10213,H2O,a double,"wetl""",literal data
10213,CO2,no trailing characters,2023-07-19,literal data
10213,CH4,no trailing characters,15:15:47,literal data
10213,NA,22 columns,25 columns,literal data
10214,DATE,date like ,2,literal data
10214,TIME,time like ,in,literal data
10214,H2O,a double,"wetl""",literal data
